Ticker,Name,Sector,P/E Ratio,Equity Ratio %
8343.T,"THE AKITA BANK,LTD.",Banks,12.91,4.52
8399.T,"Bank of The Ryukyus,Limited",Banks,13.08,4.7
7350.T,"Okinawa Financial Group,Inc.",Banks,13.32,5.15
8364.T,"THE SHIMIZU BANK,LTD.",Banks,13.37,3.96
7173.T,"Tokyo Kiraboshi Financial Group,Inc.",Banks,13.53,5.23
7327.T,"Daishi Hokuetsu Financial Group,Inc.",Banks,13.89,4.36
8600.T,"TOMONY Holdings,Inc.",Banks,13.97,5.59
8418.T,"Yamaguchi Financial Group,Inc.",Banks,14.06,4.76
5830.T,"Iyogin Holdings,Inc.",Banks,14.09,8.72
4222.T,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.77,28.8
9385.T,SHOEI CORPORATION,Chemicals,4.31,40.99
4611.T,"Dai Nippon Toryo Company,Limited",Chemicals,4.52,48.87
4918.T,IVY COSMETICS CORPORATION,Chemicals,4.69,69.2
4977.T,Nitta Gelatin Inc.,Chemicals,4.78,51.2
6776.T,"Tensho Electric Industries Co.,Ltd.",Chemicals,4.78,48.02
4231.T,TIGERS POLYMER CORPORATION,Chemicals,5.2,72.28
4361.T,"KAWAGUCHI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,6.04,35.33
4120.T,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,6.29,64.93
4040.T,"NANKAI CHEMICAL COMPANY,LIMITED",Chemicals,6.34,37.37
373A.T,"LIPPS CO.,LTD",Chemicals,6.55,88.8
4465.T,"Niitaka Co., Ltd.",Chemicals,6.69,65.34
7888.T,SANKO GOSEI LTD.,Chemicals,6.71,42.33
4113.T,"TAOKA CHEMICAL COMPANY,LIMITED",Chemicals,7.17,60.84
4933.T,"I-ne CO.,LTD.",Chemicals,7.8,47.1
4028.T,"ISHIHARA SANGYO KAISHA,LTD.",Chemicals,8.14,50.77
7927.T,MUTO SEIKO CO.,Chemicals,8.24,59.22
4925.T,"HABA LABORATORIES,INC.",Chemicals,8.39,72.32
4914.T,TAKASAGO INTERNATIONAL CORPORATION,Chemicals,8.5,55.0
4471.T,"SANYO CHEMICAL INDUSTRIES,LTD.",Chemicals,8.51,76.76
1848.T,FUJI P.S CORPORATION,Construction,3.59,32.6
1798.T,MORIYA CORPORATION,Construction,4.9,46.69
1718.T,"MIKIKOGYO CO.,LTD.",Construction,5.05,44.3
1850.T,"Nankai Tatsumura Construction Co.,Ltd.",Construction,6.46,40.33
1420.T,Sanyo Homes Corporation,Construction,6.66,30.31
1847.T,"ICHIKEN Co.,Ltd.",Construction,7.5,50.42
1418.T,"INTERLIFE HOLDINGS CO.,LTD.",Construction,7.8,44.66
1867.T,UEKI CORPORATION,Construction,7.87,56.98
1780.T,YAMAURA CORPORATION,Construction,8.06,75.46
1443.T,"Giken Holdings Co.,Ltd.",Construction,8.13,67.53
1764.T,KUDO CORPORATION,Construction,8.17,31.28
1960.T,Sanyo Engineering & Construction Inc.,Construction,8.2,51.6
1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,8.27,39.04
1997.T,"AKATSUKI EAZIMA CO.,LTD.",Construction,8.35,68.85
1972.T,"SANKO METAL INDUSTRIAL CO.,LTD.",Construction,8.44,65.42
1879.T,SHINNIHON CORPORATION,Construction,8.52,70.72
1966.T,TAKADA CORPORATION,Construction,8.6,44.9
1870.T,"YAHAGI CONSTRUCTION CO.,LTD.",Construction,8.66,47.72
1964.T,"Chugai Ro Co.,Ltd.",Construction,8.82,58.12
1450.T,TANAKEN Inc.,Construction,8.91,72.24
3856.T,Abalance Corporation,Electric Appliances,1.48,16.05
6699.T,"DIAMOND ELECTRIC HOLDINGS Co.,Ltd.",Electric Appliances,2.53,14.37
6822.T,"Oi Electric Co.,Ltd.",Electric Appliances,5.13,29.83
6658.T,"Shirai Electronics Industrial Co.,Ltd.",Electric Appliances,5.7,51.03
7280.T,MITSUBA Corporation,Electric Appliances,6.0,28.69
6969.T,"MATSUO ELECTRIC CO.,LTD.",Electric Appliances,6.2,41.85
6797.T,"NAGOYA ELECTRIC WORKS CO.,LTD.",Electric Appliances,6.38,81.34
6753.T,Sharp Corporation,Electric Appliances,6.51,10.64
6647.T,"MORIO DENKI CO.,LTD.",Electric Appliances,6.65,57.93
6894.T,"PULSTEC INDUSTRIAL CO.,LTD.",Electric Appliances,7.22,76.81
6932.T,ENDO Lighting Corporation,Electric Appliances,7.76,65.1
7244.T,"ICHIKOH INDUSTRIES,LTD.",Electric Appliances,7.93,61.02
6736.T,SUNCORPORATION,Electric Appliances,8.01,89.61
6748.T,"SEIWA ELECTRIC MFG. CO.,LTD.",Electric Appliances,8.04,63.06
6638.T,"MIMAKI ENGINEERING CO.,LTD.",Electric Appliances,8.16,42.3
6676.T,BUFFALO INC.,Electric Appliances,8.19,58.65
6899.T,ASTI CORPORATION,Electric Appliances,8.21,53.3
6743.T,"Daido Signal Co.,Ltd.",Electric Appliances,8.29,53.5
6742.T,"Kyosan Electric Manufacturing Co.,Ltd.",Electric Appliances,8.6,41.04
6626.T,SEMITEC Corporation,Electric Appliances,8.65,74.45
9504.T,"The Chugoku Electric Power Company,Incorporated",Electric Power and Gas,3.15,16.22
9505.T,Hokuriku Electric Power Company,Electric Power and Gas,3.31,20.47
9506.T,"Tohoku Electric Power Company,Incorporated",Electric Power and Gas,3.52,18.25
9509.T,"Hokkaido Electric Power Company,Incorporated",Electric Power and Gas,3.76,17.47
9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,4.94,25.96
9508.T,"Kyushu Electric Power Company,Incorporated",Electric Power and Gas,4.98,17.31
9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,6.49,31.76
9534.T,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,6.7,44.18
9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,6.97,36.42
9537.T,"HOKURIKU GAS CO.,LTD.",Electric Power and Gas,8.63,74.91
9511.T,"The Okinawa Electric Power Company,Incorporated",Electric Power and Gas,9.45,24.25
9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,9.49,39.11
9536.T,"SAIBU GAS HOLDINGS CO.,LTD.",Electric Power and Gas,10.61,23.19
9543.T,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,11.22,67.04
9535.T,"HIROSHIMA GAS CO.,LTD.",Electric Power and Gas,12.92,52.67
9539.T,"KEIYO GAS CO.,LTD.",Electric Power and Gas,13.23,56.78
9531.T,"TOKYO GAS CO.,LTD.",Electric Power and Gas,13.67,44.76
7692.T,EARTH INFINITY CO.LTD.,Electric Power and Gas,13.98,37.52
9532.T,"OSAKA GAS CO.,LTD.",Electric Power and Gas,13.98,52.77
3150.T,"grems,Inc.",Electric Power and Gas,14.16,62.64
1384.T,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",8.14,73.65
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",8.67,36.52
1381.T,"AXYZ CO.,Ltd.","Fishery, Agriculture and Forestry",9.65,86.14
1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",10.09,33.7
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",10.88,52.78
1376.T,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",12.34,50.72
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry",15.22,43.64
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",15.99,84.46
1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.","Fishery, Agriculture and Forestry",44.77,30.62
1375.T,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",49.98,32.66
1383.T,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry",109.9,34.92
4404.T,"Miyoshi Oil & Fat Co.,Ltd.",Foods,2.38,50.65
2220.T,"KAMEDA SEIKA CO.,LTD.",Foods,3.5,61.03
2286.T,"Hayashikane Sangyo Co.,Ltd.",Foods,5.09,42.67
2112.T,"Ensuiko Sugar Refining Co.,Ltd.",Foods,5.45,56.52
2924.T,"Ifuji Sangyo Co.,Ltd.",Foods,7.28,66.62
2602.T,"The Nisshin OilliO Group,Ltd.",Foods,7.78,48.2
2533.T,"Oenon Holdings,Inc.",Foods,7.91,44.2
2060.T,"FEED ONE CO.,LTD.",Foods,8.38,43.99
2927.T,"AFC-HD AMS Life Science Co.,Ltd.",Foods,8.52,30.94
2932.T,"STI Foods Holdings,Inc.",Foods,8.84,45.98
2813.T,"Wakou Shokuhin Co.,Ltd.",Foods,9.21,58.73
4526.T,"RIKEN VITAMIN CO.,LTD.",Foods,9.28,70.05
2804.T,"BULL-DOG SAUCE CO.,LTD.",Foods,9.65,66.04
2004.T,"Showa Sangyo Co.,Ltd.",Foods,10.65,52.83
250A.T,Shimadaya Corporation,Foods,10.89,72.74
409A.T,"ORION BREWERIES,LTD.",Foods,11.51,37.28
2114.T,Fuji Nihon Corporation,Foods,11.54,70.57
2923.T,"SATO FOODS CO.,LTD.",Foods,11.75,46.02
2209.T,"IMURAYA GROUP CO.,LTD.",Foods,11.92,60.31
2001.T,NIPPN CORPORATION,Foods,11.98,60.68
5204.T,"ISHIZUKA GLASS CO.,LTD.",Glass and Ceramics Products,4.8,33.77
5284.T,"YAMAU HOLDINGS CO.,LTD.",Glass and Ceramics Products,5.61,51.8
5279.T,"NIHON KOGYO CO.,LTD.",Glass and Ceramics Products,6.61,48.82
5285.T,YAMAX Corp.,Glass and Ceramics Products,7.08,48.1
5233.T,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,8.01,45.07
5363.T,TYK CORPORATION,Glass and Ceramics Products,8.43,69.13
5210.T,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,8.56,57.75
5356.T,"MINO CERAMIC CO.,LTD.",Glass and Ceramics Products,9.54,67.99
5232.T,"Sumitomo Osaka Cement Co.,Ltd.",Glass and Ceramics Products,10.12,54.13
5351.T,"SHINAGAWA REFRA CO.,LTD.",Glass and Ceramics Products,10.22,45.59
5368.T,"JAPAN INSULATION CO.,LTD.",Glass and Ceramics Products,10.64,76.91
5301.T,"TOKAI CARBON CO.,LTD.",Glass and Ceramics Products,10.72,47.94
5273.T,"MITANI SEKISAN CO.,LTD.",Glass and Ceramics Products,10.75,70.73
5288.T,ASIA PILE HOLDINGS CORPORATION,Glass and Ceramics Products,10.88,46.95
5302.T,"Nippon Carbon Co.,Ltd.",Glass and Ceramics Products,10.91,63.54
5355.T,"Nippon Crucible Co.,Ltd.",Glass and Ceramics Products,11.48,49.89
4026.T,"Konoshima Chemical Co.,Ltd.",Glass and Ceramics Products,11.69,42.18
5304.T,"SEC CARBON,LIMITED",Glass and Ceramics Products,12.74,90.65
5388.T,"KUNIMINE INDUSTRIES CO.,LTD.",Glass and Ceramics Products,13.63,83.39
5237.T,NOZAWA CORPORATION,Glass and Ceramics Products,14.06,68.34
3768.T,Riskmonster.com,Information & Communication,3.24,82.47
241A.T,"ROXX,inc.",Information & Communication,3.6,34.76
3779.T,"J ESCOM HOLDINGS,INC.",Information & Communication,3.88,19.32
3917.T,"iRidge,Inc.",Information & Communication,5.84,41.9
3903.T,gumi Inc.,Information & Communication,5.86,71.04
9405.T,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,Information & Communication,6.25,59.57
3640.T,"DENSAN CO.,LTD.",Information & Communication,6.38,59.22
9685.T,"KYCOM HOLDINGS CO.,LTD.",Information & Communication,6.47,56.37
9466.T,Aidma Marketing Communication Corporation,Information & Communication,6.5,72.54
2432.T,"DeNA Co.,Ltd.",Information & Communication,6.58,61.32
9446.T,"SAKAI Holdings CO.,LTD",Information & Communication,6.58,22.53
9691.T,"RYOMO SYSTEMS CO.,LTD.",Information & Communication,6.61,55.1
244A.T,"Growth xPartners,Inc.",Information & Communication,6.91,71.44
3696.T,CERES INC.,Information & Communication,6.92,35.46
9984.T,SoftBank Group Corp.,Information & Communication,7.04,25.68
3826.T,System Integrator Corp.,Information & Communication,7.17,82.53
9360.T,SUZUYO SHINWART CORPORATION,Information & Communication,7.42,37.09
3670.T,"Kyoritsu Computer & Communication Co.,Ltd.",Information & Communication,7.51,66.27
3909.T,Showcase Inc.,Information & Communication,7.51,22.83
5244.T,"jig.jp co.,ltd.",Information & Communication,7.77,60.63
8729.T,Sony Financial Group Inc.,Insurance,0.81,N/A
8725.T,"MS&AD Insurance Group Holdings,Inc.",Insurance,8.43,15.25
7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,11.57,5.44
8766.T,"Tokio Marine Holdings,Inc.",Insurance,12.73,16.25
8630.T,"Sompo Holdings,Inc.",Insurance,13.01,26.46
8750.T,"Dai-ichi Life Holdings,Inc.",Insurance,13.32,4.99
8795.T,"T&D Holdings, Inc.",Insurance,15.95,7.83
7325.T,IRRC Corporation,Insurance,15.97,70.04
7326.T,"SBI Insurance Group Co.,Ltd.",Insurance,20.2,19.48
7343.T,"Broad-Minded Co.,Ltd.",Insurance,20.87,73.64
7157.T,LIFENET INSURANCE COMPANY,Insurance,23.86,79.28
7388.T,FP Partner Inc.,Insurance,28.27,64.24
8715.T,"Anicom Holdings,Inc.",Insurance,48.26,38.72
5410.T,"Godo Steel,Ltd.",Iron and Steel,4.66,52.84
5445.T,"TOKYO TEKKO CO.,LTD.",Iron and Steel,4.86,73.46
5491.T,"NIPPON KINZOKU CO.,LTD.",Iron and Steel,5.08,39.85
5603.T,KOGI CORPORATION,Iron and Steel,5.12,42.58
5406.T,"Kobe Steel,Ltd.",Iron and Steel,6.07,40.19
5480.T,"Nippon Yakin kogyo Co.,Ltd.",Iron and Steel,7.02,44.34
5697.T,"SANYU CO.,LTD.",Iron and Steel,7.31,51.07
5644.T,METALART CORPORATION,Iron and Steel,7.95,53.01
5408.T,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,7.97,71.61
5609.T,NIPPON CHUZO K.K.,Iron and Steel,8.01,53.23
5699.T,"IBOKIN Co.,Ltd.",Iron and Steel,8.81,63.2
5632.T,"Mitsubishi Steel Mfg.Co.,Ltd.",Iron and Steel,9.05,30.75
5440.T,KYOEI STEEL LTD.,Iron and Steel,9.11,57.53
5660.T,"KOBELCO WIRE COMPANY,LTD.",Iron and Steel,9.5,54.49
5464.T,MORY INDUSTRIES INC.,Iron and Steel,10.14,79.48
5463.T,Maruichi Steel Tube Ltd.,Iron and Steel,11.29,80.91
5423.T,"TOKYO STEEL MANUFACTURING CO.,LTD.",Iron and Steel,11.35,71.65
5446.T,"HOKUETSU METAL Co.,Ltd.",Iron and Steel,12.39,66.67
5602.T,"Kurimoto,Ltd.",Iron and Steel,12.69,57.87
7305.T,"ARAYA INDUSTRIAL CO.,LTD.",Iron and Steel,13.01,59.77
9024.T,SEIBU HOLDINGS INC.,Land Transportation,5.67,30.63
9017.T,"Niigata Kotsu Co.,Ltd.",Land Transportation,6.77,33.73
9060.T,JAPAN LOGISTIC SYSTEMS CORP.,Land Transportation,7.33,31.82
9063.T,"Okayamaken Freight Transportation CO.,LTD.",Land Transportation,7.49,49.32
9022.T,Central Japan Railway Company,Land Transportation,7.91,44.56
9059.T,"Kanda Holdings Co.,Ltd.",Land Transportation,7.98,54.26
9049.T,"Keifuku Electric Railroad Co.,Ltd.",Land Transportation,7.99,49.21
9083.T,"Shinki Bus Co.,Ltd.",Land Transportation,8.01,73.75
9009.T,"Keisei Electric Railway Co.,Ltd.",Land Transportation,8.06,46.52
9031.T,"Nishi-Nippon Railroad Co.,Ltd.",Land Transportation,8.65,31.87
9028.T,"ZERO CO.,LTD.",Land Transportation,9.11,52.6
9012.T,"Chichibu Railway Co.,Ltd.",Land Transportation,9.84,29.61
9029.T,"HIGASHI HOLDINGS CO.,LTD.",Land Transportation,10.54,42.76
9048.T,"Nagoya Railroad Co., Ltd.",Land Transportation,10.63,31.87
9052.T,"Sanyo Electric Railway Co.,Ltd.",Land Transportation,10.71,46.92
9057.T,"ENSHU TRUCK CO.,LTD.",Land Transportation,11.02,57.89
9033.T,"Hiroshima Electric Railway Co.,Ltd.",Land Transportation,11.06,40.08
9021.T,West Japan Railway Company,Land Transportation,11.15,30.82
9145.T,"BEING HOLDINGS CO.,LTD.",Land Transportation,11.19,40.16
9074.T,"Japan Oil Transportation Co.,Ltd.",Land Transportation,11.23,59.95
6317.T,Kitagawa Corporation,Machinery,4.7,50.89
6149.T,"Odawara Engineering Co.,Ltd.",Machinery,4.79,74.54
6430.T,"DAIKOKU DENKI CO.,LTD.",Machinery,5.67,79.08
6418.T,"JAPAN CASH MACHINE CO.,LTD.",Machinery,5.94,64.86
7991.T,"MAMIYA-OP CO.,LTD",Machinery,6.02,61.81
6307.T,"SANSEI CO.,LTD.",Machinery,6.76,73.06
6424.T,"TAKAMISAWA CYBERNETICS COMPANY,LTD.",Machinery,6.76,35.68
6408.T,"OGURA CLUTCH CO.,LTD.",Machinery,6.88,37.65
6332.T,"TSUKISHIMA HOLDINGS CO.,LTD.",Machinery,7.07,48.41
6382.T,TRINITY INDUSTRIAL CORPORATION,Machinery,7.09,75.82
6246.T,Techno Smart Corp.,Machinery,7.45,60.18
6417.T,"SANKYO CO.,LTD.",Machinery,7.45,84.64
6360.T,"TOKYO AUTOMATIC MACHINERY WORKS,LTD.",Machinery,7.46,59.53
6419.T,Mars Group Holdings Corporation,Machinery,7.72,89.92
6249.T,"Gamecard Holdings,Inc.",Machinery,8.01,87.44
6230.T,SANEI LTD.,Machinery,8.08,58.28
6463.T,"TPR CO.,LTD.",Machinery,8.18,55.85
6365.T,DMW CORPORATION,Machinery,8.21,68.77
7022.T,Sanoyas Holdings Corporation,Machinery,8.21,36.75
6343.T,FREESIA MACROSS CORPORATION,Machinery,8.24,37.79
9127.T,"TAMAI STEAMSHIP CO.,LTD",Marine Transportation,3.12,73.24
9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,7.64,53.9
9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,8.43,67.56
9171.T,"Kuribayashi Steamship Co.,Ltd.",Marine Transportation,8.47,37.36
9110.T,"NS United Kaiun Kaisha,Ltd.",Marine Transportation,8.59,56.52
9107.T,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,8.67,74.59
9115.T,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,9.01,16.28
9119.T,"IINO KAIUN KAISHA,LTD.",Marine Transportation,12.05,47.48
9173.T,"Tokai Kisen Co.,Ltd.",Marine Transportation,17.86,25.43
9130.T,"KYOEI TANKER CO.,LTD.",Marine Transportation,20.99,32.42
9308.T,"Inui Global Logistics Co.,Ltd.",Marine Transportation,22.11,49.23
5994.T,"FINE SINTER CO.,LTD.",Metal Products,3.23,29.47
5989.T,"H-ONE CO.,LTD.",Metal Products,4.01,35.85
5940.T,"FUJISASH CO.,LTD.",Metal Products,4.87,27.73
5974.T,"CHUGOKUKOGYO CO.,LTD.",Metal Products,6.48,43.25
5970.T,G-TEKT CORPORATION,Metal Products,6.61,61.61
5975.T,Topre Corporation,Metal Products,6.63,59.19
3440.T,"NISSO GROUP Co.,Ltd.",Metal Products,6.87,46.92
5915.T,KOMAIHALTEC Inc.,Metal Products,7.36,45.91
5965.T,FUJIMAK CORPORATION,Metal Products,7.36,57.37
5956.T,"TOSO CO.,LTD.",Metal Products,7.54,66.2
5936.T,"TOYO SHUTTER CO.,LTD.",Metal Products,7.79,50.71
3441.T,"SANNO Co.,Ltd.",Metal Products,7.84,53.25
5981.T,"TOKYO ROPE MFG.CO.,LTD",Metal Products,7.94,41.99
5906.T,"MK SEIKO CO.,LTD.",Metal Products,7.99,63.5
5902.T,HOKKAN HOLDINGS LIMITED,Metal Products,8.05,43.45
5921.T,"Kawagishi Bridge Works Co.,Ltd.",Metal Products,8.22,82.75
5997.T,KYORITSU AIR TECH INC.,Metal Products,8.53,62.64
5984.T,KANEFUSA CORPORATION,Metal Products,8.57,79.43
2961.T,NITCHO CORPORATION,Metal Products,9.06,56.33
5941.T,"NAKANISHI MFG. CO.,LTD.",Metal Products,9.07,67.12
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,7.44,77.43
1605.T,INPEX CORPORATION,Mining,12.94,61.37
1663.T,K&O Energy Group Inc.,Mining,16.33,82.52
1514.T,"Sumiseki Holdings,Inc.",Mining,16.64,96.48
1515.T,"Nittetsu Mining Co.,Ltd.",Mining,21.17,58.91
5729.T,"NIHON SEIKO CO.,LTD",Nonferrous Metals,4.73,56.99
5851.T,RYOBI LIMITED,Nonferrous Metals,7.35,52.21
5753.T,"NIPPON SHINDO CO.,LTD.",Nonferrous Metals,7.61,72.28
5757.T,"CK SAN-ETSU Co.,Ltd.",Nonferrous Metals,8.24,60.09
5858.T,"STG CO.,LTD.",Nonferrous Metals,9.72,36.43
5819.T,"Canare Electric Co.,Ltd.",Nonferrous Metals,10.77,90.39
5715.T,"FURUKAWA CO.,LTD.",Nonferrous Metals,11.37,50.88
5852.T,AHRESTY CORPORATION,Nonferrous Metals,11.72,38.77
1491.T,"Chugai Mining Co.,Ltd.",Nonferrous Metals,12.56,49.51
5703.T,"Nippon Light Metal Holdings Company,Ltd.",Nonferrous Metals,14.2,42.83
5820.T,"MITSUBOSHI CO.,LTD.",Nonferrous Metals,16.1,52.07
5857.T,"ARE Holdings,Inc.",Nonferrous Metals,16.97,25.77
5726.T,"OSAKA Titanium technologies Co.,Ltd.",Nonferrous Metals,17.12,42.45
5816.T,"Onamba Co.,Ltd.",Nonferrous Metals,17.91,66.0
5742.T,"NIC Autotec,Inc.",Nonferrous Metals,21.78,46.47
5821.T,HIRAKAWA HEWTECH CORP.,Nonferrous Metals,23.22,82.19
5805.T,SWCC Corporation,Nonferrous Metals,27.52,42.31
5714.T,"DOWA HOLDINGS CO.,LTD.",Nonferrous Metals,28.5,59.15
5741.T,UACJ Corporation,Nonferrous Metals,29.99,29.96
5802.T,"Sumitomo Electric Industries,Ltd.",Nonferrous Metals,35.81,51.57
5010.T,"NIPPON SEIRO CO.,LTD.",Oil and Coal Products,8.68,23.37
5013.T,Yushiro Inc.,Oil and Coal Products,8.84,68.5
5021.T,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,12.13,27.12
5011.T,"NICHIREKI GROUP CO.,LTD.",Oil and Coal Products,12.49,68.81
5018.T,MORESCO Corporation,Oil and Coal Products,17.14,56.63
5015.T,BP Castrol K.K.,Oil and Coal Products,21.84,77.59
5019.T,"Idemitsu Kosan Co.,Ltd.",Oil and Coal Products,45.08,36.02
5020.T,"ENEOS Holdings,Inc.",Oil and Coal Products,82.09,35.28
7196.T,Casa Inc.,Other Financing Business,6.57,47.65
8772.T,"ASAX CO.,LTD.",Other Financing Business,7.26,41.48
8439.T,Tokyo Century Corporation,Other Financing Business,7.53,15.04
8584.T,"JACCS CO.,LTD.",Other Financing Business,8.43,6.53
8508.T,"J Trust Co.,Ltd.",Other Financing Business,8.51,12.27
8596.T,"KYUSHU LEASING SERVICE CO.,LTD.",Other Financing Business,8.83,21.04
8425.T,"Mizuho Leasing Company,Limited",Other Financing Business,8.91,9.82
7192.T,Mortgage Service Japan Limited,Other Financing Business,8.95,39.72
8253.T,"Credit Saison Co.,Ltd.",Other Financing Business,9.94,15.11
7187.T,"J-LEASE CO.,LTD.",Other Financing Business,10.18,37.82
8585.T,Orient Corporation,Other Financing Business,10.24,8.31
4346.T,NEXYZ.Group Corporation,Other Financing Business,10.46,17.75
8789.T,FinTech Global Incorporated,Other Financing Business,11.44,40.63
8591.T,ORIX CORPORATION,Other Financing Business,11.6,24.25
8793.T,NEC Capital Solutions Limited,Other Financing Business,11.6,9.88
5843.T,"Nippon Insure Co.,Ltd.",Other Financing Business,12.72,46.74
7164.T,"ZENKOKU HOSHO Co.,Ltd.",Other Financing Business,13.71,48.47
8572.T,"ACOM CO.,LTD.",Other Financing Business,13.78,43.97
8566.T,"RICOH LEASING COMPANY,LTD.",Other Financing Business,13.79,17.01
5845.T,"ZENHOREN CO.,LTD.",Other Financing Business,14.14,31.59
7898.T,"WOOD ONE CO.,LTD.",Other Products,3.84,43.78
168A.T,itamiarts inc.,Other Products,4.14,33.04
7997.T,Kurogane Kosakusho Ltd.,Other Products,4.18,56.72
7814.T,"JAPAN Creative Platform Group Co.,Ltd.",Other Products,4.48,24.38
7808.T,"C.S. LUMBER CO.,INC",Other Products,5.89,41.91
7887.T,"NANKAI PLYWOOD CO.,LTD.",Other Products,6.69,75.15
7812.T,CRESTEC Inc.,Other Products,6.71,41.37
1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products,6.8,55.54
7827.T,ORVIS CORPORATION,Other Products,7.11,45.39
